id,quality
2506,6
2613,5
5048,7
3044,6
592,6
3659,6
3214,6
1960,6
283,6
975,6
1422,6
4642,6
1716,6
3249,6
6272,6
1928,6
3149,5
2739,6
4687,6
3907,5
2291,6
1214,6
3774,6
4406,7
4940,6
6222,5
2399,6
1221,6
3452,6
2227,6
2807,5
3994,6
4302,6
629,6
540,6
4792,5
2324,6
4211,6
5007,7
4913,6
4695,6
4170,6
420,6
5013,6
3648,7
1219,6
1649,6
4745,5
181,6
3256,6
5704,6
3936,6
4575,6
104,6
3409,7
2156,6
2483,6
4568,6
2278,6
2869,6
4692,5
6139,6
3601,6
1227,6
1518,6
123,6
65,6
2991,5
852,5
4197,6
1728,6
1300,6
1018,5
6462,6
841,6
3831,6
86,6
5828,6
4594,6
1352,6
1670,6
5409,7
1406,6
1776,6
196,6
2875,6
1047,7
285,5
115,5
1958,6
5882,6
6323,6
5268,6
4601,6
4993,6
3706,6
4212,6
397,6
6027,5
507,5
5479,6
4509,5
2315,6
2029,6
3097,6
2231,6
4864,5
2281,6
2609,5
4987,6
1137,6
4083,6
3111,6
964,6
2158,6
911,6
5115,6
5772,6
5873,6
523,6
5006,6
5235,6
5796,6
2192,6
5914,6
472,6
1888,5
4889,6
6296,6
1051,6
3222,6
4294,5
786,6
1531,6
559,6
4917,6
2543,5
5561,6
632,6
6434,6
2856,6
822,6
3564,6
2120,6
2045,6
4048,6
3972,6
1863,5
137,6
2433,6
4300,6
4291,6
3902,6
3025,6
1053,6
5723,6
1880,5
4253,6
3737,6
1329,6
2725,6
3883,5
241,6
4527,5
3271,6
3464,6
5957,6
4970,6
6463,6
2421,6
950,6
5770,6
5802,6
4738,6
2364,6
5874,6
2144,6
1207,6
4088,6
3188,6
3421,6
2097,6
4652,6
620,6
3848,6
2646,6
4514,6
2884,6
732,6
4393,6
5908,5
2765,6
5745,6
5535,6
132,5
5418,6
4058,5
6260,6
118,6
2696,6
650,6
3352,6
1282,6
111,6
108,6
2853,6
4052,6
4248,5
5662,6
5331,7
3038,7
4946,6
4103,6
6201,7
3382,6
6049,6
4867,6
155,6
1715,6
432,5
5263,7
5617,6
6362,6
3349,6
1954,6
1775,5
3525,6
4731,6
2761,6
4278,6
5060,7
477,6
2923,6
4193,6
4174,6
729,7
5340,6
3405,6
5321,7
3821,6
2982,6
51,6
717,6
1141,6
5437,5
1613,5
2126,6
4095,5
81,6
3692,6
2057,5
415,6
5032,6
1040,6
6024,5
6479,6
6102,6
969,6
4236,6
1135,6
982,6
1334,6
6458,6
4885,6
4828,6
2823,6
4068,6
6203,7
5188,6
1496,5
484,6
1404,5
874,6
4853,6
5212,6
782,6
5347,7
5334,7
5716,6
2755,5
4984,6
4220,6
4246,6
66,7
828,6
1679,5
3538,6
1877,6
6147,5
2947,6
5122,5
3658,6
2301,6
1192,6
3640,6
1692,6
2900,6
5564,6
5352,6
3017,6
5165,6
4649,6
2820,6
5917,5
3140,5
2383,5
6010,5
743,5
1921,6
1606,7
5569,5
263,6
4963,5
4374,6
6165,6
3799,6
6345,6
2320,6
4530,6
6066,6
867,6
1647,6
226,6
5098,6
6489,6
22,6
2430,6
3152,6
41,6
3717,6
865,6
4440,5
2779,5
749,6
585,6
1662,6
4838,6
4804,6
683,5
452,6
2784,6
6002,6
1423,6
644,5
2591,5
1814,6
280,6
435,7
5996,6
2913,6
3418,6
1757,6
2882,6
6497,5
5285,6
1038,6
1356,5
3638,7
640,6
2527,7
766,6
30,6
5498,7
95,6
1143,7
2095,6
5629,6
5846,5
5262,6
5495,6
4408,6
2007,6
2948,7
2864,6
2668,6
1366,6
5465,5
4646,6
734,6
5090,5
1579,7
5688,6
